id,degree,uniquePartners,cliqueScore,label
Honest_0,50,45,0.1702,0
Honest_1,49,45,0.1788,0
Honest_2,50,42,0.1643,0
Honest_3,50,47,0.1614,0
Honest_4,50,43,0.1910,0
Honest_5,50,47,0.1869,0
Honest_6,50,47,0.1596,0
Honest_7,50,44,0.1686,0
Honest_8,50,47,0.1975,0
Honest_9,50,44,0.1871,0
Honest_10,50,42,0.1870,0
Honest_11,50,44,0.1839,0
Honest_12,50,42,0.1690,0
Honest_13,50,47,0.1665,0
Honest_14,50,45,0.1616,0
Honest_15,50,42,0.1719,0
Honest_16,48,45,0.1894,0
Honest_17,50,42,0.1754,0
Honest_18,50,46,0.1870,0
Honest_19,50,41,0.1470,0
Honest_20,50,45,0.1692,0
Honest_21,49,44,0.1971,0
Honest_22,49,42,0.1684,0
Honest_23,50,49,0.1790,0
Honest_24,50,44,0.1617,0
Honest_25,50,46,0.1855,0
Honest_26,50,44,0.1739,0
Honest_27,50,47,0.1804,0
Honest_28,50,44,0.1850,0
Honest_29,50,46,0.2029,0
Honest_30,50,45,0.1677,0
Honest_31,50,47,0.1679,0
Honest_32,50,42,0.1841,0
Honest_33,50,45,0.1879,0
Honest_34,50,45,0.1869,0
Honest_35,50,42,0.1858,0
Honest_36,50,45,0.1470,0
Honest_37,50,47,0.1623,0
Honest_38,49,44,0.1966,0
Honest_39,50,41,0.1695,0
Honest_40,50,40,0.1712,0
Honest_41,49,43,0.1811,0
Honest_42,50,45,0.1616,0
Honest_43,50,43,0.1800,0
Honest_44,50,43,0.1966,0
Honest_45,50,44,0.1945,0
Honest_46,50,47,0.1466,0
Honest_47,50,43,0.1766,0
Honest_48,49,41,0.1921,0
Honest_49,50,46,0.1657,0
Honest_50,50,42,0.1812,0
Honest_51,49,44,0.1718,0
Honest_52,50,43,0.1611,0
Honest_53,50,42,0.1957,0
Honest_54,50,44,0.1797,0
Honest_55,50,46,0.1966,0
Honest_56,50,46,0.1913,0
Honest_57,50,46,0.1696,0
Honest_58,49,42,0.1794,0
Honest_59,50,43,0.1794,0
Honest_60,50,44,0.1654,0
Honest_61,50,48,0.1596,0
Honest_62,50,42,0.1603,0
Honest_63,50,42,0.1760,0
Honest_64,50,46,0.1643,0
Honest_65,50,45,0.1742,0
Honest_66,50,48,0.1848,0
Honest_67,50,45,0.1788,0
Honest_68,50,44,0.1781,0
Honest_69,50,46,0.1725,0
Honest_70,50,48,0.1658,0
Honest_71,50,42,0.1400,0
Honest_72,49,43,0.1844,0
Honest_73,48,45,0.1753,0
Honest_74,50,46,0.1942,0
Honest_75,50,47,0.1827,0
Honest_76,50,44,0.1638,0
Honest_77,50,49,0.1905,0
Honest_78,50,46,0.1899,0
Honest_79,50,45,0.2025,0
Honest_80,50,46,0.1604,0
Honest_81,50,45,0.1843,0
Honest_82,50,44,0.1971,0
Honest_83,50,46,0.1899,0
Honest_84,50,42,0.1719,0
Honest_85,50,46,0.1802,0
Honest_86,49,43,0.1977,0
Honest_87,50,44,0.1786,0
Honest_88,50,45,0.1732,0
Honest_89,50,44,0.1644,0
Honest_90,50,44,0.1644,0
Honest_91,50,47,0.1994,0
Honest_92,50,39,0.1849,0
Honest_93,50,43,0.1694,0
Honest_94,50,44,0.1744,0
Honest_95,50,46,0.1932,0
Honest_96,50,44,0.2008,0
Honest_97,50,48,0.1986,0
Honest_98,50,48,0.1640,0
Honest_99,49,43,0.1661,0
Honest_100,48,45,0.1712,0
Honest_101,50,43,0.1877,0
Honest_102,50,43,0.1639,0
Honest_103,49,45,0.1758,0
Honest_104,50,42,0.1893,0
Honest_105,50,46,0.1855,0
Honest_106,49,46,0.1855,0
Honest_107,50,45,0.1929,0
Honest_108,50,44,0.1702,0
Honest_109,50,44,0.1755,0
Honest_110,50,43,0.1838,0
Honest_111,49,42,0.1794,0
Honest_112,50,41,0.1787,0
Honest_113,49,46,0.1623,0
Honest_114,50,42,0.1893,0
Honest_115,50,45,0.1763,0
Honest_116,50,45,0.1712,0
Honest_117,50,44,0.1993,0
Honest_118,50,45,0.1697,0
Honest_119,49,42,0.1696,0
Honest_120,50,43,0.1849,0
Honest_121,50,40,0.1853,0
Honest_122,50,45,0.1576,0
Honest_123,50,46,0.1986,0
Honest_124,50,42,0.1655,0
Honest_125,50,47,0.2012,0
Honest_126,50,49,0.1777,0
Honest_127,50,45,0.1818,0
Honest_128,49,46,0.1758,0
Honest_129,50,45,0.1631,0
Honest_130,49,44,0.1892,0
Honest_131,50,42,0.2120,0
Honest_132,50,45,0.1641,0
Honest_133,50,46,0.1705,0
Honest_134,50,45,0.1773,0
Honest_135,50,46,0.1734,0
Honest_136,49,43,0.2016,0
Honest_137,50,41,0.1756,0
Honest_138,49,44,0.1839,0
Honest_139,50,43,0.1899,0
Smart_0,50,32,0.2964,1
Smart_1,49,37,0.2710,1
Smart_2,45,38,0.2539,1
Smart_3,49,33,0.2718,1
Smart_4,50,41,0.2549,1
Smart_5,48,32,0.3135,1
Smart_6,50,38,0.2952,1
Smart_7,50,36,0.3032,1
Smart_8,49,40,0.2423,1
Smart_9,47,32,0.3347,1
Smart_10,47,40,0.2705,1
Smart_11,47,38,0.2824,1
Smart_12,49,35,0.2882,1
Smart_13,49,38,0.2781,1
Smart_14,48,36,0.2651,1
Smart_15,48,33,0.2557,1
Smart_16,49,40,0.2532,1
Smart_17,49,39,0.2874,1
Smart_18,49,33,0.2964,1
Smart_19,50,41,0.2756,1
Sybil_0,4,4,0.2500,0
Sybil_1,4,4,0.3333,0
Sybil_2,4,4,0.1667,0
Sybil_3,4,4,0.2500,0
Sybil_4,4,4,0.2500,0
Sybil_5,4,4,0.2500,0
Sybil_6,4,4,0.1667,0
Sybil_7,4,4,0.3333,0
Sybil_8,4,4,0.0000,0
Sybil_9,4,4,0.3333,0
Sybil_10,4,4,0.0833,0
Sybil_11,4,4,0.1667,0
Sybil_12,4,4,0.1667,0
Sybil_13,4,4,0.0000,0
Sybil_14,4,4,0.0000,0
Sybil_15,4,4,0.0833,0
Sybil_16,4,4,0.1667,0
Sybil_17,4,4,0.1667,0
Sybil_18,4,4,0.3333,0
Sybil_19,4,3,0.0000,0
Sybil_20,4,4,0.3333,0
Sybil_21,4,4,0.1667,0
Sybil_22,4,4,0.2500,0
Sybil_23,4,4,0.0833,0
Sybil_24,4,3,0.1667,0
Sybil_25,4,4,0.0833,0
Sybil_26,4,4,0.1667,0
Sybil_27,4,4,0.0000,0
Sybil_28,4,3,0.1667,0
Sybil_29,4,4,0.3333,0
