from,to,round,label
Honest_0,Honest_78,1,Honest
Honest_1,Smart_16,1,Honest
Honest_2,Honest_89,1,Honest
Honest_3,Honest_114,1,Honest
Honest_4,Honest_14,1,Honest
Honest_5,Honest_93,1,Honest
Honest_6,Honest_84,1,Honest
Honest_7,Sybil_24,1,Honest
Honest_8,Sybil_28,1,Honest
Honest_9,Honest_25,1,Honest
Honest_10,Honest_38,1,Honest
Honest_11,Honest_81,1,Honest
Honest_12,Honest_72,1,Honest
Honest_13,Honest_130,1,Honest
Honest_14,Honest_130,1,Honest
Honest_15,Sybil_2,1,Honest
Honest_16,Honest_122,1,Honest
Honest_17,Sybil_20,1,Honest
Honest_18,Honest_118,1,Honest
Honest_19,Sybil_33,1,Honest
Honest_20,Sybil_16,1,Honest
Honest_21,Honest_70,1,Honest
Honest_22,Honest_116,1,Honest
Honest_23,Sybil_1,1,Honest
Honest_24,Sybil_8,1,Honest
Honest_25,Honest_132,1,Honest
Honest_26,Sybil_33,1,Honest
Honest_27,Sybil_19,1,Honest
Honest_28,Honest_124,1,Honest
Honest_29,Smart_15,1,Honest
Honest_30,Sybil_10,1,Honest
Honest_31,Smart_6,1,Honest
Honest_32,Sybil_35,1,Honest
Honest_33,Honest_50,1,Honest
Honest_34,Honest_20,1,Honest
Honest_35,Honest_129,1,Honest
Honest_36,Sybil_39,1,Honest
Honest_37,Sybil_35,1,Honest
Honest_38,Smart_2,1,Honest
Honest_39,Sybil_4,1,Honest
Honest_40,Sybil_11,1,Honest
Honest_41,Honest_44,1,Honest
Honest_42,Honest_138,1,Honest
Honest_43,Smart_5,1,Honest
Honest_44,Honest_40,1,Honest
Honest_45,Honest_115,1,Honest
Honest_46,Honest_60,1,Honest
Honest_47,Sybil_22,1,Honest
Honest_48,Smart_6,1,Honest
Honest_49,Sybil_36,1,Honest
Honest_50,Honest_63,1,Honest
Honest_51,Sybil_27,1,Honest
Honest_52,Honest_110,1,Honest
Honest_53,Sybil_13,1,Honest
Honest_54,Sybil_37,1,Honest
Honest_55,Honest_9,1,Honest
Honest_56,Honest_120,1,Honest
Honest_57,Honest_7,1,Honest
Honest_58,Honest_130,1,Honest
Honest_59,Honest_112,1,Honest
Honest_60,Smart_18,1,Honest
Honest_61,Smart_7,1,Honest
Honest_62,Honest_110,1,Honest
Honest_63,Honest_5,1,Honest
Honest_64,Smart_6,1,Honest
Honest_65,Honest_117,1,Honest
Honest_66,Honest_87,1,Honest
Honest_67,Honest_52,1,Honest
Honest_68,Sybil_5,1,Honest
Honest_69,Honest_5,1,Honest
Honest_70,Honest_125,1,Honest
Honest_71,Sybil_37,1,Honest
Honest_72,Honest_139,1,Honest
Honest_73,Honest_84,1,Honest
Honest_74,Honest_94,1,Honest
Honest_75,Honest_132,1,Honest
Honest_76,Honest_3,1,Honest
Honest_77,Honest_23,1,Honest
Honest_78,Honest_43,1,Honest
Honest_79,Honest_126,1,Honest
Honest_80,Honest_7,1,Honest
Honest_81,Sybil_37,1,Honest
Honest_82,Honest_109,1,Honest
Honest_83,Honest_70,1,Honest
Honest_84,Honest_22,1,Honest
Honest_85,Honest_106,1,Honest
Honest_86,Smart_19,1,Honest
Honest_87,Smart_9,1,Honest
Honest_88,Honest_38,1,Honest
Honest_89,Honest_8,1,Honest
Honest_90,Sybil_28,1,Honest
Honest_91,Honest_28,1,Honest
Honest_92,Smart_13,1,Honest
Honest_93,Sybil_21,1,Honest
Honest_94,Sybil_0,1,Honest
Honest_95,Sybil_5,1,Honest
Honest_96,Sybil_2,1,Honest
Honest_97,Smart_7,1,Honest
Honest_98,Sybil_19,1,Honest
Honest_99,Honest_26,1,Honest
Honest_100,Honest_33,1,Honest
Honest_101,Honest_30,1,Honest
Honest_102,Smart_15,1,Honest
Honest_103,Sybil_21,1,Honest
Honest_104,Honest_50,1,Honest
Honest_105,Honest_119,1,Honest
Honest_106,Sybil_24,1,Honest
Honest_107,Sybil_31,1,Honest
Honest_108,Smart_1,1,Honest
Honest_109,Honest_118,1,Honest
Honest_110,Honest_54,1,Honest
Honest_111,Honest_60,1,Honest
Honest_112,Honest_15,1,Honest
Honest_113,Sybil_23,1,Honest
Honest_114,Honest_72,1,Honest
Honest_115,Honest_33,1,Honest
Honest_116,Sybil_31,1,Honest
Honest_117,Honest_23,1,Honest
Honest_118,Honest_64,1,Honest
Honest_119,Honest_11,1,Honest
Honest_120,Honest_95,1,Honest
Honest_121,Honest_40,1,Honest
Honest_122,Honest_104,1,Honest
Honest_123,Honest_35,1,Honest
Honest_124,Smart_6,1,Honest
Honest_125,Honest_1,1,Honest
Honest_126,Sybil_14,1,Honest
Honest_127,Honest_75,1,Honest
Honest_128,Honest_54,1,Honest
Honest_129,Smart_7,1,Honest
Honest_130,Honest_127,1,Honest
Honest_131,Honest_43,1,Honest
Honest_132,Sybil_10,1,Honest
Honest_133,Sybil_18,1,Honest
Honest_134,Honest_106,1,Honest
Honest_135,Honest_33,1,Honest
Honest_136,Sybil_39,1,Honest
Honest_137,Honest_100,1,Honest
Honest_138,Honest_24,1,Honest
Honest_139,Honest_66,1,Honest
Smart_0,Smart_8,1,SmartCollusion
Smart_1,Honest_30,1,SmartCollusion
Smart_2,Smart_12,1,SmartCollusion
Smart_3,Honest_63,1,SmartCollusion
Smart_4,Smart_10,1,SmartCollusion
Smart_5,Honest_93,1,SmartCollusion
Smart_6,Smart_9,1,SmartCollusion
Smart_7,Honest_128,1,SmartCollusion
Smart_8,Smart_9,1,SmartCollusion
