Address,Trust,SuccessRate,Latency,OnlineTime,Active,Blacklisted,Interactions
0x02484cb50AAC86Eae85610D6f4Bf026f30f6627D,100,100,50,7200,true,false,2
0x976EA74026E726554dB657fA54763abd0C3a0aa9,100,0,5000,100,true,false,1
0xb4585a80f57Bb2Bf376F3E0aDB21EE88258d68b4,100,100,45,7200,true,false,2
0x8238788FD3cf35e828529C9322eDa18434C68FAd,100,100,45,7200,true,false,2
0x2B8Fa68b1379F1d9FcFd546D24fed8f939a06FaC,100,100,45,7200,true,false,2
0x90D2E0c16629eaB6b7C3861e86B3DF091E9D1b4b,126,10,5000,3700,true,false,2
0x55540DD4b1E97F60c0c6f04dDF2fD55a523ae2e4,126,10,5000,3700,true,false,2
0x104B1D3cdD621da285c7d9FF793A05a72a3CC48B,100,100,50,10800,true,false,3
0x47F22514dBd609feFdc7F6bbCcc8e5bCF725d8E1,100,100,50,10800,true,false,3
0x698c6414f3a12D379e5dc47E6EA923aBbe1231E7,100,100,50,10800,true,false,3
0x366bDF013d87F020e76e1d26a6Ed225da6a5284E,100,100,50,10800,true,false,3
0x98e22827F976B3b11E78577EC396811577a5C686,100,100,50,10800,true,false,3
0x5B11E68Cc364608505a6BcD237c89Be2113740b6,100,100,50,10800,true,false,3
0xeACdf73266a63d08EfB90ad55CFC6EdCD47bdc6F,94,85,450,10800,true,false,3
0xB2DF0368AE86FCCE9A834751Bf3F96C4Ff84df5C,94,85,450,10800,true,false,3
0x9317c2EdB288ec3fAdE35f05eEF841bE20293b95,118,0,5000,7200,true,false,2
0x5C5ea1Ea5BA24C7af3Efb4f1Db8f3Ca9c1e8E472,118,0,5000,7200,true,false,2
0xa80bb94aDbB408E4E12ef2d4e3e273113535aE40,100,100,50,3600,true,false,1
0x75Fd6bBaC2b279f916B1Ae26DDd1AA5Ed2Aa9fC5,100,100,50,3600,true,false,1
