node,steps,initial,final,gain_total,convergence_step,steady_mean,steady_variance,max_drawdown,metrics_gain,recommend_gain,metrics_count,recommend_count
Node01,41,100,151,51,5,151,0,8,5,4,20,9
Node02,41,100,122,22,5,122,0,0.0,22,0,20,9
Node03,41,100,102,2,5,102,0,6,2,0,20,9
Node04,41,100,140,40,5,140,0,0.0,40,0,20,9
Node05,41,100,120,20,5,120,0,0.0,20,0,20,9
Node06,41,100,112,12,5,112,0,0.0,12,0,20,9
Node07,41,100,104,4,5,104,0,0.0,4,0,20,9
Node08,41,100,136,36,5,132.8,15.36,0.0,36,0,20,9
Node09,41,100,102,2,5,100.8,0.96,0.0,2,0,20,9
Node10,41,100,126,26,5,121.2,5.76,0.0,26,0,20,9
